date,bitcoinPrice
2024-11-09 00:00:00,76550.0213845611
2024-11-10 00:00:00,76630.22631415377
2024-11-11 00:00:00,80466.71654833542
2024-11-12 00:00:00,88637.42000322911
2024-11-13 00:00:00,88264.59974582895
2024-11-14 00:00:00,90488.10007497849
2024-11-15 00:00:00,87407.51273710128
2024-11-16 00:00:00,90947.97509443703
2024-11-17 00:00:00,90606.45489380708
2024-11-18 00:00:00,89841.47194135105
2024-11-19 00:00:00,90534.62459650292
2024-11-20 00:00:00,92251.65240738312
2024-11-21 00:00:00,94217.02229634205
2024-11-22 00:00:00,98509.11859102432
2024-11-23 00:00:00,98927.49494553401
2024-11-24 00:00:00,97679.46381643033
2024-11-25 00:00:00,98015.9355289458
2024-11-26 00:00:00,93004.70093103287
2024-11-27 00:00:00,91931.83077291827
2024-11-28 00:00:00,95981.18057210564
2024-11-29 00:00:00,95661.59595817851
2024-11-30 00:00:00,97453.2473451042
2024-12-01 00:00:00,96513.14234698225
2024-12-02 00:00:00,97311.70719084324
2024-12-03 00:00:00,95833.1362300365
2024-12-04 00:00:00,96031.63097759831
2024-12-05 00:00:00,98881.4694561823
2024-12-06 00:00:00,97201.50036407741
2024-12-07 00:00:00,99973.85150659826
2024-12-08 00:00:00,99781.82999198174
2024-12-09 00:00:00,101235.3717025316
2024-12-10 00:00:00,97353.94700820887
2024-12-11 00:00:00,96649.71446771531
2024-12-12 00:00:00,101123.61811033697
2024-12-13 00:00:00,100000.80836535197
2024-12-14 00:00:00,101352.22971292294
2024-12-15 00:00:00,101367.01064553364
2024-12-16 00:00:00,104721.50151808978
2024-12-17 00:00:00,106074.10723541168
2024-12-18 00:00:00,106034.913402645
2024-12-19 00:00:00,100355.5761481501
2024-12-20 00:00:00,97851.35377075805
2024-12-21 00:00:00,97691.43431692653
2024-12-22 00:00:00,97202.82496847633
2024-12-23 00:00:00,95094.27394862173
2024-12-24 00:00:00,94644.91085464321
2024-12-25 00:00:00,98695.71400782601
2024-12-26 00:00:00,99344.95417367229
2024-12-27 00:00:00,95678.31244565405
2024-12-28 00:00:00,94331.94727053077
2024-12-29 00:00:00,95184.61945288602
2024-12-30 00:00:00,93663.44751964067
2024-12-31 00:00:00,92627.28213113277
2025-01-01 00:00:00,93507.85874741491
2025-01-02 00:00:00,94384.1761153871
2025-01-03 00:00:00,96852.14681235075
2025-01-04 00:00:00,98084.34279280754
2025-01-05 00:00:00,98256.73876849933
2025-01-06 00:00:00,98364.58946599838
2025-01-07 00:00:00,102229.39453189743
2025-01-08 00:00:00,96952.09886774956
2025-01-09 00:00:00,95016.71440989176
2025-01-10 00:00:00,92376.27578346101
2025-01-11 00:00:00,94736.6267420969
2025-01-12 00:00:00,94559.55167224213
2025-01-13 00:00:00,94454.77089638807
2025-01-14 00:00:00,94456.3493746993
2025-01-15 00:00:00,96574.07768799194
2025-01-16 00:00:00,100313.15239828422
2025-01-17 00:00:00,100044.57926776377
2025-01-18 00:00:00,104160.69358484233
2025-01-19 00:00:00,104334.61575724394
2025-01-20 00:00:00,101275.33714814208
2025-01-21 00:00:00,101764.90860170545
2025-01-22 00:00:00,106182.2368201815
2025-01-23 00:00:00,103673.53509537787
2025-01-24 00:00:00,104067.60991206947
2025-01-25 00:00:00,104835.19253555956
2025-01-26 00:00:00,104796.04077738234
2025-01-27 00:00:00,102552.24874280207
2025-01-28 00:00:00,101958.46953745594
2025-01-29 00:00:00,101313.11264498268
2025-01-30 00:00:00,103718.97939813645
2025-01-31 00:00:00,104781.5135100103
2025-02-01 00:00:00,102382.39409722165
2025-02-02 00:00:00,100674.78762544956
2025-02-03 00:00:00,97568.31653024875
2025-02-04 00:00:00,101466.8606657039
2025-02-05 00:00:00,98118.43921664466
2025-02-06 00:00:00,96582.88682919052
2025-02-07 00:00:00,96635.41875332211
2025-02-08 00:00:00,96558.4563096667
2025-02-09 00:00:00,96558.23762501091
2025-02-10 00:00:00,96548.57865379585
2025-02-11 00:00:00,97399.98161383197
2025-02-12 00:00:00,95739.97737079239
2025-02-13 00:00:00,97836.18856127483
2025-02-14 00:00:00,96561.6639990985
2025-02-15 00:00:00,97488.48148536457
2025-02-16 00:00:00,97569.95169430465
2025-02-17 00:00:00,96149.3484548204
2025-02-18 00:00:00,95776.15723852723
2025-02-19 00:00:00,95495.89153299287
